hire_date,is_manager,gender,ethnicity,crosschq_asmt_score,crosschq_ref_score,crosschq_references_fraud,age_at_hire,was_referral,terminated_in_first_6_months,strengths_1,strengths_2,Strengths_3,Strengths_4,Strengths_5,Strengths_6,Strengths_7,Strengths_8,Strengths_9,Strengths_10,Strengths_11,Strengths_12,Strengths_13,Strengths_14,Strengths_15,Strengths_16,Strengths_17,Weakness_1,Weakness_2,Weakness_3,Weakness_4,Weakness_5,Weakness_6,Weakness_7,Weakness_8,Weakness_9,Weakness_10,compared_to_others_1,compared_to_others_2,compared_to_others_3,compared_to_others_4,compared_to_others_5,compared_to_others_6,compared_to_others_7,compared_to_others_8,compared_to_others_9
2020-12-14,False,male,Asian,3.78,4.44,False,34.2157604955265,False,False,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,4,4,2,4,4,3,4,4
2020-12-14,True,male,White/Caucasian,3.5,4.74,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,5,3,5,4
2020-12-16,False,female,Asian,3.94,4.72,False,34.2157604955265,False,True,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,4,4,3,4,3,5,4,5
2020-12-16,False,male,Asian,3.94,4.11,False,34.2157604955265,False,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,5,2,4,4,3,5,5,3
2020-12-16,False,male,Hispanic/Latinx,3.83,3.87,False,34.2157604955265,False,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,5,5,3,4,4,3,3,4
2020-12-16,True,male,White/Caucasian,4.33,4.94,False,34.2157604955265,False,False,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,4,4,5,4,5,5,5
2020-12-21,True,male,Asian,3.78,4.39,False,34.2157604955265,False,False,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,4,4,4,4,3,3,2,4
2020-12-28,False,male,Asian,4,3.76,False,34.2157604955265,False,False,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,4,5,4,4,4,4,4,4
2020-12-28,False,male,Asian,3.83,4.48,False,34.2157604955265,False,False,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,3,4,4,3,3,4,4
2021-01-04,False,male,Other,4.28,4.57,False,34.2157604955265,False,False,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,5,4,4,5,4,5,5,5
2021-01-04,False,male,Asian,4.67,4.89,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,4,4,4,5,4,5,4,5
2021-01-05,False,male,Asian,4,4.43,False,34.2157604955265,False,False,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,4,4,4,3,3,5,4,5
2021-01-11,False,male,Asian,4.83,4.81,False,34.2157604955265,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,5,5,5,5,4,4,4,5
2021-01-12,False,female,Asian,4.33,4.22,False,34.2157604955265,False,False,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,5,5,4,5,4,5,4,5
2021-02-01,False,male,White/Caucasian,3.33,4,True,34.2157604955265,False,True,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,5,4,4,3,4,2,4
2021-02-01,False,male,Asian,4.94,4.83,False,34.2157604955265,False,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,5,5,5
2021-02-15,False,male,Other,3.33,3.11,False,34.2157604955265,False,False,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,4,4,3,3,4,4,4
2021-02-22,True,male,Asian,3.72,4.13,False,34.2157604955265,False,False,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,4,3,4,2,4,4,3
2021-03-15,True,male,Asian,4.33,4.68,True,34.2157604955265,False,False,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,5,5,5,4,4,5,5,5
2021-03-22,False,male,Asian,3.5,3.22,True,34.2157604955265,False,False,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4,5,4,3,3,5,4,4,4
2021-03-26,False,male,Other,3.78,4.44,False,34.2157604955265,False,False,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,4,4,2,4,4,3,4,4
2021-03-29,True,male,Other,4.67,4.39,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,4,4,5,4,5
2021-04-05,False,male,White/Caucasian,4.44,4.53,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,5,5,5,5,5
2021-04-05,False,male,White/Caucasian,3.94,4.37,False,34.2157604955265,False,False,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,4,3,4,4,4,4,4,4
2021-04-05,True,male,White/Caucasian,4.22,4.87,False,34.2157604955265,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5,5,4,4,4,4,5,5
2021-04-19,True,male,Asian,3.72,4.26,False,34.2157604955265,False,False,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,2,4,2,4,3,4,4,4
2021-04-26,False,male,Other,3.06,4.3,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,4,3,2,4,3,2,3,3,4
2021-04-26,True,female,Asian,4.17,4.67,False,34.2157604955265,False,False,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,4,5,4,4,4,4,5,5
2021-05-03,False,male,Asian,2.39,3.19,True,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,4,3,3,2,2,2,2,5
2021-05-17,False,male,Hispanic/Latinx,4.11,4.2,False,34.2157604955265,False,True,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4,5,4,5,3,4,5,5
2021-05-17,False,male,Other,3.67,4.03,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,2,3,4,5
2021-05-24,False,male,Asian,3.28,3.13,False,34.2157604955265,False,True,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,4,4,3,3,3,4,3,5
2021-05-24,False,female,Asian,4.06,3.69,False,34.2157604955265,False,True,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,5,4,3,4,4,5,4,4
2021-05-24,False,female,White/Caucasian,3.83,4.69,False,34.2157604955265,False,False,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,4,3,4,4,3,4,3,5
2021-05-24,False,male,Asian,4.17,4.85,False,34.2157604955265,False,True,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5,4,4,4,5,4,4,5
2021-06-07,False,undisclosed,Other,3.83,4.28,False,34.2157604955265,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,4,4,4,4,3,3,3,4
2021-06-07,False,male,Asian,3.28,3.61,False,34.2157604955265,False,False,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,4,5,4,3,4,3,2,2
2021-06-21,True,male,Asian,4.11,4.04,False,34.2157604955265,False,False,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,5,4,4,4,4,4,3,5
2021-06-21,False,female,Asian,4.17,4.22,False,34.2157604955265,False,False,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,5,5,4,4,4,5,4,4
2021-06-21,False,male,White/Caucasian,4.39,4.61,False,34.2157604955265,False,False,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,4,5,5,5,5
2021-07-26,False,male,Other,4.44,3.99,False,34.2157604955265,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,5,5,5,5,5,5,4,5
2021-08-01,False,male,Other,3.72,4.83,False,34.2157604955265,False,False,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,5,4,4,5,5
2021-08-02,False,male,Asian,4,4.03,True,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4
2021-08-02,False,male,Asian,4.06,4.26,False,34.2157604955265,False,False,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,3,4,4,4,4,4,4,5
2021-08-09,False,male,Other,3.39,4.25,False,34.2157604955265,False,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,4,5,3,4,4,3,4,4,3
2021-08-09,False,male,Hispanic/Latinx,3.89,3.67,True,34.2157604955265,False,False,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,4,3,4,4,3,4,4,4
2021-08-09,True,female,White/Caucasian,3.78,4.3,False,34.2157604955265,False,False,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,5,4,3,4,2,3,4,4
2021-08-23,False,male,White/Caucasian,3.61,3.67,False,34.2157604955265,False,False,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,3,3,3,4,3,3,3,3
2021-08-30,False,male,Other,4.78,4.19,True,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,5,4,5,5,4
2021-08-30,False,male,Asian,4,4.92,False,34.2157604955265,False,False,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4
2021-09-01,False,male,Other,3.72,4.41,False,34.2157604955265,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3,3,4,3,4,4,4,2,4
2021-09-07,True,female,Asian,4.22,4.64,False,34.2157604955265,False,False,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,5,4,4,5,4,4,5,4
2021-09-13,False,male,Other,4.22,5,False,34.2157604955265,False,False,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,5,5,4,4,4
2021-09-13,False,male,Asian,3.72,4.13,False,34.2157604955265,False,False,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,4,3,4,2,4,4,3
2021-09-27,False,female,Asian,4.44,4.09,False,34.2157604955265,False,False,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,5,5,4,5,5,5,5,5
2021-09-29,False,male,Other,5,4.22,False,34.2157604955265,False,False,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5
2021-09-29,False,female,Other,4.22,4.97,False,34.2157604955265,False,False,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,4,5,4,4,5
2021-10-07,False,male,Other,3.17,4.89,False,34.2157604955265,False,False,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,4,3,3,4,3,4,3,3
2021-11-08,False,undisclosed,Other,4.22,4.26,False,34.2157604955265,False,False,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,5,5,4,5,3,5,5,4
2021-11-08,False,female,Other,4.06,4.03,True,34.2157604955265,False,False,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4,5,4,4,4,4,4,4
2021-11-08,False,male,Other,4.22,4.08,False,34.2157604955265,False,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,5,4,4,5,4,5,4,4
2021-11-08,True,female,Asian,4.22,4.59,False,34.2157604955265,False,False,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,4,4,4,5,4,5,4,5
2021-11-08,False,male,White/Caucasian,4.11,4.86,False,34.2157604955265,False,False,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,5,4,4,4,3,5,5,5
2021-11-15,False,female,Other,4.17,4.46,False,34.2157604955265,False,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,5,5,4,4,4,4,5,4
2021-12-01,False,male,Other,3,3.58,False,34.2157604955265,False,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,2,4,2,3,4,4,2,4
2021-12-20,False,male,Asian,4.06,4.07,False,34.2157604955265,False,False,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,5,4,4,4,3,4,5,4
2022-01-03,False,female,Other,4.06,4.47,False,34.2157604955265,False,False,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,4,4,4,5,3,4,4,4
2022-01-03,False,male,Asian,3.28,4.39,False,34.2157604955265,False,False,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4,4,3,4,3,3,3,4
2022-01-03,False,male,Asian,3.44,3.81,False,34.2157604955265,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,3,4,4,4,4
2022-01-19,False,female,Asian,3.94,4.33,False,34.2157604955265,False,False,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4,5,3,4,3,4,4,4
2022-02-07,False,male,Other,3.44,3.47,True,34.2157604955265,False,False,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,5,3,4,3,4,5,4
2022-02-07,False,male,Other,3.94,4.78,False,34.2157604955265,False,False,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,4,4,4,4,4,4,3,4
2022-02-07,False,male,White/Caucasian,3.89,4.53,False,34.2157604955265,False,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,4,3,4,4,4,4,3,4
2022-02-14,False,male,Asian,4.22,4.41,False,34.2157604955265,False,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,4,5,5,4,4,4,5,4,5
2022-02-28,False,male,Other,3.78,3.31,False,34.2157604955265,False,False,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4,4,3,3,3,3,4,4
2019-01-28,True,male,Asian,4.89,4.44,False,30,False,False,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,4,5,5,4
2019-02-19,True,male,Other,4.89,4.08,False,29,False,False,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,5,5,5,5,4,5,5,5
2019-05-06,True,female,Other,3.67,4.81,False,34,False,False,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,5,4,4,4,5,3,5
2019-06-12,True,male,Asian,4,3.44,False,30,False,False,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,4,5,3,4,4,5,4
2019-06-24,True,male,Other,5,4.26,False,28,False,True,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,5,5,5,5,5,5,5,5
2019-08-19,True,undisclosed,Other,4,4.54,False,34.2157604955265,False,False,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,4.2,4.8,3.8,4,4.6,4.2,4,3.8,5
2020-04-27,True,male,Asian,5,3.82,False,37,False,False,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5
2020-06-15,True,male,Asian,4,4.02,False,33,True,False,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,4,4.8,4.5,4.5,4.5,3.5,3.8,4.5,4.5
2020-06-22,True,female,White/Caucasian,3.33,3.93,False,22,False,False,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,4,5,4.7,4,4,4,4,4,4
2020-06-29,True,male,Other,3.94,3.8,False,28,False,False,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,3.8,4.2,4.5,4.5,4,3.2,3.5,3.5,4
2020-07-06,True,male,Asian,4.06,4.76,False,24,False,False,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,4.8,5,4.8,4.2,4.8,4.2,4.5,5,4.8
2020-07-06,True,female,White/Caucasian,4,4.61,False,39,False,True,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,4.5,4.8,4,4.5,4.2,4.2,4.5,4.2,4.8
2020-07-20,True,female,Black/African American,4.11,4.96,False,25,True,False,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,4.5,5,4.5,4.8,5,4.8,4.8,4.8,4.8
2020-07-20,True,male,White/Caucasian,3.78,4.67,False,30,False,False,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,4.3,4.7,4.3,4.3,4.3,4,4.3,4.3,5
2020-08-03,True,female,Other,3.67,3.8,False,39,False,False,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,3,4.8,4.2,4.2,3.2,3.2,3.5,4,3.8
2020-08-03,True,male,Other,4.22,4.32,False,40,False,True,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,4,4.5,4.2,4.5,4,4.8,4,4.5,4.5
2020-08-10,True,male,Asian,4,4.76,False,28,False,False,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4.5,4.8,4.2,4.5,4.5,4,4,4.2,4.8
2020-08-10,True,male,White/Caucasian,4.33,3.78,False,41,False,False,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4.5,4.8,3.8,3.8,4.2,3.8,3.5,4,4.5
2020-08-10,True,male,White/Caucasian,3.94,4.76,False,56,True,False,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,4.8,4.5,4.2,4.2,5,4.5,4.2,5,5
2020-08-17,True,male,Asian,4,4.46,False,35,False,False,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,4.5,4.5,4.2,4.8,4.5,4.2,3.8,4.5,5
2020-08-17,True,male,Asian,4.72,4.76,False,37,False,False,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,4.5,5,4.5,5,4.8,4.8,5,4.2,5
2020-08-24,True,female,White/Caucasian,4,4.87,False,40,False,False,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.8,4.5,4.2,4.8,4.8,4.2,4.2,4.8,4.8
2020-08-31,True,female,Asian,3.5,4.63,False,22,False,False,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,3.8,4.8,4.2,4.2,4.5,4.5,4.8,4.5,4.8
2020-08-31,True,male,Black/African American,3.89,4.43,False,23,True,False,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,4.2,4.8,4.2,4.2,4.5,4,4.5,4.2,4.2
2020-08-31,True,female,Asian,3.94,4.59,False,23,True,False,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,3.8,4.8,4.5,4.2,4.2,4,4.5,4.5,4.8
2020-08-31,True,male,Other,4.78,4.3,False,23,False,False,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,4.8,4.5,4.2,4,4,4.5,4.5,4.5
2020-08-31,True,male,Black/African American,3.72,4.48,False,23,True,False,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4.5,4.5,4.5,3.8,4.5,3.8,4,4.5,5
2020-08-31,True,male,White/Caucasian,3.94,4.44,False,26,True,False,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,4,5,5,4.2,4.5,3.5,4,4.5,4.8
2020-08-31,True,female,Black/African American,4.06,4.2,False,26,False,False,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,4,4.5,4.8,4.2,4.5,4,4.8,4,4.2
2020-08-31,True,female,White/Caucasian,4.17,3.17,False,27,True,False,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,3.2,3.5,3.5,3.8,3.8,3.8,3,3.5,4.2
2020-08-31,True,male,White/Caucasian,2.44,4.33,False,27,True,False,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,3.8,4.5,4.2,3.5,3.8,3.8,4.2,4,4
